sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	marker	type	batch
b_31	FF14_31	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_32	FF14_32	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_33	FF14_33	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_34	FF14_34	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_35	FF14_35	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_36	FF14_36	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_37	FF14_37	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_38	FF14_38	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_39	FF14_39	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_40	FF14_40	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_41	FF14_41	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_42	FF14_42	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_43	FF14_43	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_44	FF14_44	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_45	FF14_45	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_46	FF14_46	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_47	FF14_47	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_48	FF14_48	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_49	FF14_49	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_50	FF14_50	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_51	FF14_51	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_52	FF14_52	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_53	FF14_53	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_54	FF14_54	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_55	FF14_55	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_56	FF14_56	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_57	FF14_57	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_58	FF14_58	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_59	FF14_59	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_60	FF14_60	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_61	FF14_61	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_62	FF14_62	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_63	FF14_63	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_64	FF14_64	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_65	FF14_65	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_66	FF14_66	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_67	FF14_67	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_68	FF14_68	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_69	FF14_69	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_70	FF14_70	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_71	FF14_71	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_72	FF14_72	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_73	FF14_73	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_74	FF14_74	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_75	FF14_75	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_76	FF14_76	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_77	FF14_77	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_78	FF14_78	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_79	FF14_79	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Fairfax_2012	CD19	microarray	NA
b_80	FF14_80	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_81	FF14_81	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_82	FF14_82	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_83	FF14_83	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_84	FF14_84	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_85	FF14_85	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_86	FF14_86	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_87	FF14_87	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_88	FF14_88	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_89	FF14_89	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_90	FF14_90	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_91	FF14_91	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_92	FF14_92	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_93	FF14_93	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_94	FF14_94	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_95	FF14_95	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_96	FF14_96	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_97	FF14_97	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_98	FF14_98	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_99	FF14_99	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_100	FF14_100	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_101	FF14_101	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_102	FF14_102	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_103	FF14_103	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_104	FF14_104	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_105	FF14_105	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_106	FF14_106	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_107	FF14_107	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_108	FF14_108	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_109	FF14_109	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_110	FF14_110	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_111	FF14_111	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_112	FF14_112	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_113	FF14_113	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_114	FF14_114	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_115	FF14_115	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_116	FF14_116	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_117	FF14_117	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_118	FF14_118	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_119	FF14_119	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_120	FF14_120	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_121	FF14_121	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_122	FF14_122	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_123	FF14_123	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_124	FF14_124	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_125	FF14_125	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_126	FF14_126	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_127	FF14_127	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_128	FF14_128	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_129	FF14_129	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_130	FF14_130	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_131	FF14_131	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_132	FF14_132	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_133	FF14_133	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_134	FF14_134	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_135	FF14_135	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_197.2	FF14_197	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Fairfax_2012	CD19	microarray	NA
b_137	FF14_137	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_138	FF14_138	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_139	FF14_139	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_140	FF14_140	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_141	FF14_141	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_142	FF14_142	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_143	FF14_143	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_144	FF14_144	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_145	FF14_145	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_146	FF14_146	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_147	FF14_147	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_148	FF14_148	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_149	FF14_149	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_150	FF14_150	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_151	FF14_151	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Fairfax_2012	CD19	microarray	NA
b_152	FF14_152	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_153	FF14_153	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_154	FF14_154	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_155	FF14_155	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_156	FF14_156	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_157	FF14_157	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_158	FF14_158	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_159	FF14_159	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_160	FF14_160	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_161	FF14_161	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_162	FF14_162	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_163	FF14_163	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_164	FF14_164	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_165	FF14_165	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_166	FF14_166	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_167	FF14_167	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_168	FF14_168	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_169	FF14_169	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_170	FF14_170	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
