sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	marker	type	batch
b_1	FF14_1	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_2	FF14_2	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_3	FF14_3	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_4	FF14_4	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_5	FF14_5	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_6	FF14_6	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_7	FF14_7	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_8	FF14_8	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_9	FF14_9	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_10	FF14_10	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_11	FF14_11	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_12	FF14_12	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_13	FF14_13	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_14	FF14_14	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Fairfax_2012	CD19	microarray	NA
b_15	FF14_15	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_16	FF14_16	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_17	FF14_17	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_18	FF14_18	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_19	FF14_19	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_20	FF14_20	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_21	FF14_21	male	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_22	FF14_22	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_23	FF14_23	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_24	FF14_24	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_25	FF14_25	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_26	FF14_26	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_27	FF14_27	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_28	FF14_28	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_29	FF14_29	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
b_30	FF14_30	female	B-cell	naive	B-cell_CD19	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Fairfax_2012	CD19	microarray	NA
