sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	marker	type	batch
CD16_40	FF14_345	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_41	FF14_346	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_42	FF14_348	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_43	FF14_349	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_44	FF14_350	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_45	FF14_351	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_46	FF14_352	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_47	FF14_353	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_48	FF14_354	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_49	FF14_355	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_5	FF14_296	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_50	FF14_357	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_51	FF14_358	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_52	FF14_359	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_53	FF14_361	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_54	FF14_362	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_55	FF14_363	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_56	FF14_364	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_57	FF14_366	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_58	FF14_367	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_59	FF14_368	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_6	FF14_297	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_60	FF14_369	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_61	FF14_370	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_62	FF14_371	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_63	FF14_372	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_64	FF14_373	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_65	FF14_376	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_66	FF14_379	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_67	FF14_380	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_68	FF14_381	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_69	FF14_382	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_7	FF14_299	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_70	FF14_384	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_71	FF14_385	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_72	FF14_388	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_73	FF14_397	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_74	FF14_398	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_75	FF14_399	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_76	FF14_400	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_77	FF14_401	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_78	FF14_402	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_79	FF14_403	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_8	FF14_304	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_80	FF14_404	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_81	FF14_405	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_82	FF14_406	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_83	FF14_407	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_84	FF14_408	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_85	FF14_410	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_86	FF14_413	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_87	FF14_414	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_88	FF14_415	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_89	FF14_416	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_9	FF14_308	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_90	FF14_417	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_91	FF14_421	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_92	FF14_422	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_93	FF14_423	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_94	FF14_424	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_95	FF14_426	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_96	FF14_427	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_97	FF14_428	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_98	FF14_429	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_99	FF14_430	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
