sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	marker	type	batch
SAMPLE_17_CD4	SAMPLE_17	female	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_17_CD8	SAMPLE_17	female	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_18_CD4	SAMPLE_18	female	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_19_CD8	SAMPLE_19	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_20_CD4	SAMPLE_20	male	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_20_CD8	SAMPLE_20	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_21_CD4	SAMPLE_21	male	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_21_CD8	SAMPLE_21	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_22_CD4	SAMPLE_22	male	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_22_CD8	SAMPLE_22	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_23_CD8	SAMPLE_23	female	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_24_CD8	SAMPLE_24	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_25_CD4	SAMPLE_25	female	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_25_CD8	SAMPLE_25	female	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_26_CD4	SAMPLE_26	male	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_26_CD8	SAMPLE_26	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_27_CD4	SAMPLE_27	male	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_27_CD8	SAMPLE_27	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_28_CD4	SAMPLE_28	female	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
